8.3 (D)(3DRel)	Time
0.002295951	41323.6775
0.002295951	41358.4081
0.002263637	41398.0402
0.002263637	41442.6675
0.002283033	41478.172
0.002319148	41517.9128
0.002342061	41558.313
0.002383479	41603.463
0.002383479	41637.9181
0.002405032	41678.0506
0.002425163	41718.3361
0.002435286	41758.2867
0.002442333	41804.6528
0.002480733	41838.3082
0.00255056	41879.5646
0.002591106	41917.2336
0.002620098	41957.644
0.002622978	41997.3668
0.002611509	42037.6153
0.002533875	42077.4893
0.002455676	42118.1703
0.002343136	42157.763
0.002250173	42197.7111
0.002250173	42237.8045
0.002165831	42277.7214
0.002165831	42319.5137
0.002005382	42361.462
0.002005382	42397.6706
0.001941168	42438.1283
0.001849176	42478.111
0.001860372	42517.8841
0.001795803	42559.1975
0.001781587	42597.8564
0.001762491	42644.5707
0.001702762	42679.0628
0.001676046	42719.3308
0.001686323	42758.0819
0.001706216	42798.1938
0.001719939	42838.1458
0.001757874	42879.45
0.001805982	42918.0928
0.001878789	42957.8658
0.00193148	42997.2556
0.001971867	43037.5329
0.00208171	43078.6762
0.00219769	43117.5852
0.002255724	43157.5928
0.002347862	43199.2788
0.002478831	43237.4598
0.002613324	43278.782
0.002603486	43317.4662
0.002603486	43357.6528
0.002717199	43399.7864
0.002717199	43438.0395
0.002711502	43477.7858
0.002705838	43517.8402
0.002624854	43557.8736
0.002482357	43597.7208
0.0022873	43637.9542
0.002128145	43677.9706
0.002115266	43718.3205
0.002281915	43758.9849
0.002478585	43798.9667
0.00252702	43841.0184
0.00260481	43879.295
0.002581891	43918.0986
0.002572414	43965.4888
0.002570849	43997.2356
0.00256145	44037.8635
0.002521626	44077.8687
0.002373538	44117.4394
0.00225533	44157.5523
0.00217308	44197.4209
0.00217308	44237.9956
0.002177346	44277.8375
0.002177346	44317.6549
0.002202238	44357.5211
0.002169098	44398.7609
0.002166138	44437.9469
0.002197681	44477.953
0.002226301	44517.7953
0.002254242	44558.135
0.002254242	44597.7233
0.002234327	44639.2503
0.002233233	44679.2462
0.002183808	44718.1986
0.002146284	44757.9268
0.002141461	44798.3655
0.002169002	44839.1469
0.002181488	44879.3788
0.002243794	44918.0304
0.002349615	44959.5657
0.002453127	44998.1275
0.002540668	45038.3921
0.002679653	45077.2669
0.002763398	45117.5023
0.002808879	45165.8979
0.00288971	45197.5058
0.002925402	45237.3886
0.002985725	45277.6327
0.002960276	45317.4945
0.002960276	45357.9385
0.003002187	45398.7092
0.003002187	45438.355
0.002979537	45477.854
0.002939583	45518.6726
0.002872569	45559.1722
0.002776841	45597.9008
0.002776841	45637.7294
0.002775827	45677.795
0.002691456	45718.1752
0.002638698	45757.8922
0.002498574	45798.2479
0.002449868	45837.9776
0.002398702	45879.0955
0.002334738	45918.9954
0.002299245	45959.1258
0.002271732	45998.2748
0.002272866	46038.6817
0.002270507	46077.2757
0.00231328	46117.6568
0.002315374	46157.5074
0.002327862	46197.6135
0.002316666	46240.1426
0.002313971	46277.7024
0.002313971	46317.551
0.002399038	46357.9141
0.002399038	46397.8101
0.00248176	46437.7089
0.002961218	46478.6055
0.002961218	46517.7041
0.003075108	46558.4944
0.003240097	46597.8174
0.003358235	46638.4355
0.003537742	46677.7897
0.00358926	46718.4468
0.003733862	46758.019
0.003847689	46798.382
0.003826708	46837.981
0.003915621	46878.8546
0.003966494	46921.8455
0.003902968	46959.0381
0.00386074	46998.2484
0.003719086	47039.5633
0.00348873	47078.2514
0.003325669	47117.7237
0.003055359	47157.4431
0.002904717	47197.8734
0.002742021	47242.2238
0.002494573	47278.1164
0.002454328	47317.2902
0.002454328	47357.5304
0.002281396	47399.3709
0.002281396	47438.1405
0.002222903	47478.1817
0.002160545	47517.7168
0.002075638	47558.9415
0.00193838	47597.6491
0.001837475	47638.808
0.001649341	47677.7721
0.001646534	47718.3522
0.001601936	47757.8132
0.00157328	47798.3416
0.001568363	47837.8811
0.001538834	47883.2817
0.001542405	47918.1396
0.001520924	47961.3343
0.00155984	47998.1514
0.001434802	48038.4716
0.001384769	48078.3612
0.001202408	48118.5565
0.000906546	48157.3948
0.000845485	48198.4235
0.000845485	48243.3375
0.0008532	48277.6492
0.001403315	48324.4172
0.001403315	48357.3338
0.001882064	48398.718
0.002121775	48437.5612
0.002273045	48478.1183
0.002309551	48517.8051
0.002139093	48557.9838
0.002155956	48601.2751
0.002158982	48644.5234
0.002154613	48677.9091
0.00203463	48718.3546
0.001975884	48757.9361
0.001903092	48798.4142
0.001747552	48837.8962
0.001472466	48878.2583
0.001311976	48922.0322
0.0012004	48958.5534
0.001080857	49004.1072
0.000833316	49039.1216
0.000465132	49079.3403
0.000296977	49118.5438
0.000370162	49159.2926
0.000485544	49198.7087
0.000604717	49237.2652
0.000604717	49277.8102
0.000841117	49318.3166
0.000841117	49357.5718
0.000963197	49397.7164
0.000963197	49437.705
0.001129476	49477.8804
0.001266879	49517.9187
0.001242451	49557.8697
0.001306862	49598.5161
0.001306862	49638.7593
0.001325231	49677.699
0.001274838	49718.8042
0.001192649	49759.3331
0.001103356	49799.171
0.001054017	49838.9197
0.00097518	49884.8372
0.000875014	49918.8905
0.00073346	49958.5173
0.00057861	49998.0539
0.000459245	50038.474
0.000450081	50079.7065
0.000381341	50118.7808
0.0003354	50162.8122
0.000335121	50198.5147
0.000335121	50238.4759
0.000356874	50278.2875
0.000356874	50317.4511
0.000425611	50388.066
0.000425611	50398.0612
0.000529539	50438.7788
0.000586367	50477.8267
0.000601773	50517.8714
0.000565227	50558.7616
0.000522092	50597.577
0.00047906	50638.9026
0.000383056	50677.64
0.000333882	50718.1645
0.000303692	50757.6898
0.000317656	50798.1368
0.00025508	50837.7957
0.000223438	50879.213
0.00027117	50918.8544
0.000235752	50959.2258
0.00023671	50997.9744
0.000247467	51039.5707
0.000296822	51078.1164
0.000297452	51118.5321
0.000332317	51158.2408
0.000397262	51199.071
0.000463633	51244.0051
0.000463633	51279.7089
0.000559692	51317.6734
0.000559692	51362.606
0.000684739	51397.7028
0.000684739	51443.9402
0.000733281	51477.8136
0.000773607	51517.9363
0.000759334	51559.0878
0.000686362	51599.3548
0.000686362	51638.0147
0.000595189	51677.8399
0.000499395	51718.8715
0.000452384	51757.8683
0.000515438	51798.3264
0.000626439	51838.7144
0.000652282	51878.5986
0.000711658	51917.8134
0.000781132	51958.2647
0.000824851	51998.0607
0.000933451	52038.4896
0.001015739	52078.5665
0.00109968	52121.7514
0.001178382	52158.508
0.001271679	52203.3728
0.001271679	52238.4794
0.001393357	52278.8439
0.001382643	52321.9971
0.001367249	52357.7186
0.001369131	52399.2368
0.001369131	52437.41
0.001395258	52477.8887
0.001417335	52523.3108
0.001479456	52557.9556
0.001520113	52597.8344
0.001533044	52637.9293
0.001555842	52678.7639
0.001566956	52719.8609
0.001552326	52757.5625
0.001556386	52799.0827
0.001571695	52837.7806
0.001641898	52879.4373
0.001694992	52917.9387
0.001717712	52963.5895
0.001789616	52998.9428
0.001866242	53038.5457
0.001964891	53077.9569
0.002044911	53118.5589
0.002164738	53158.2433
0.002222586	53199.4728
0.002300252	53238.2199
0.00239052	53278.5933
0.00243477	53318.3883
0.00243477	53358.233
0.002503111	53398.224
0.002503111	53437.5587
0.002541606	53478.9873
0.00257761	53518.3454
0.002539209	53558.0394
0.002520394	53597.8773
0.002520394	53637.5709
0.002482781	53677.5961
0.002423654	53719.9725
0.002330408	53758.6928
0.002258288	53801.9056
0.002104954	53837.6626
0.001996647	53878.4392
0.001929328	53917.9294
0.001844655	53958.489
0.001741182	53998.8731
0.001662918	54038.5184
0.00157756	54078.0496
0.001474745	54119.1538
0.001392556	54158.1857
0.001337619	54198.4371
0.001337619	54238.5184
0.001341425	54283.3115
0.001341425	54318.4244
0.001402119	54360.734
0.001402119	54398.2367
0.001482295	54443.375
0.001520187	54478.051
0.001511624	54517.2824
0.00150932	54557.8156
0.001540644	54597.4502
0.001569625	54639.8613
0.001620705	54677.8165
0.001622405	54718.025
0.001652317	54758.6285
0.001657698	54797.9583
0.001652571	54837.7245
0.001637681	54878.3987
0.001635051	54917.8363
0.001618039	54958.0531
0.001608788	54997.7608
0.001616373	55038.6042
0.001620796	55077.9677
0.001637689	55118.5248
0.001632812	55158.9128
0.001612855	55198.6093
0.001599813	55247.3682
0.001599813	55278.3743
0.001566853	55318.439
0.001566853	55358.3827
0.001555401	55398.4932
0.001563098	55438.6086
0.001582288	55477.5181
0.001595367	55517.4145
0.001596394	55558.1925
0.001562673	55597.7106
0.001562673	55637.4261
0.00151391	55678.4509
0.001484643	55717.9787
0.001457407	55757.5533
0.001438866	55797.8954
0.001437041	55837.5729
0.001452032	55878.781
0.001509329	55917.631
0.001587374	55958.6085
0.001737942	55997.7276
0.001830131	56038.1717
0.001877702	56077.8297
0.002043715	56118.1825
0.002123952	56160.3683
0.002166245	56198.2045
0.002166245	56238.3814
0.00237131	56279.5358
0.00237131	56318.1528
0.002507491	56358.5485
0.002591752	56398.1007
0.002591752	56438.259
0.00263932	56478.4606
0.002656052	56517.4086
0.002669516	56562.9922
0.002709332	56597.2444
0.002700799	56637.6246
0.002753688	56677.3557
0.002732853	56723.2542
0.002734909	56757.485
0.002742079	56803.8692
0.002742719	56837.6977
0.002736122	56878.5391
0.00271828	56917.8319
0.002720381	56958.6099
0.002731357	56997.7018
0.002740874	57038.1795
0.002753215	57078.0111
0.002749554	57118.7969
0.002727714	57158.7421
0.002721062	57200.9006
0.002745117	57240.581
0.002745117	57278.0325
0.002804608	57318.4014
0.002821143	57359.5823
0.002814735	57398.1021
0.002814735	57438.4491
0.00277075	57486.3547
0.002672652	57519.3289
0.002643391	57559.5676
0.002627732	57597.7881
0.002560108	57637.7791
0.002542073	57677.579
0.002499575	57717.9743
0.002485437	57757.4367
0.002491925	57798.5503
0.002416113	57838.1434
0.002391334	57884.3789
0.002368073	57918.5916
0.002379541	57964.8783
0.0024147	57998.6926
0.002481518	58038.7315
0.002522378	58077.8599
0.002533739	58118.3229
0.002535292	58157.9502
0.002556314	58198.3455
0.002556314	58239.1591
0.002573897	58280.1814
0.002573897	58318.0811
0.002738133	58360.577
0.002738133	58398.0002
0.002881968	58438.0854
0.003007127	58478.4806
0.003007127	58518.3951
0.003011078	58558.6299
0.003011078	58602.3366
0.003001419	58637.7728
0.003033594	58677.4664
0.003044943	58717.9236
0.003064056	58757.5455
0.003103282	58798.7712
0.003082779	58838.4672
0.002979627	58878.1144
0.002859134	58919.0685
0.002840749	58958.2257
0.002830405	58997.6672
0.002797517	59038.8841
0.002797517	59077.6678
0.002727305	59118.1298
0.002720241	59158.0326
0.002653337	59198.2689
0.002598457	59237.9854
0.002558627	59284.0297
0.002587559	59317.8729
0.002587559	59357.9731
0.002640818	59398.325
0.002640818	59438.5871
0.002649295	59478.5772
0.002646218	59519.0485
0.002641232	59560.2074
0.002631643	59598.4893
0.002631643	59638.1809
0.002617786	59677.283
0.00261376	59717.5783
0.002578929	59757.289
0.002502091	59804.7415
0.002405553	59837.6841
0.002334709	59878.5699
0.00225761	59917.4769
0.002208339	59959.0664
0.00213034	59997.8544
0.001999455	60038.0327
0.001931799	60079.1492
0.00191888	60119.0802
0.001905722	60158.902
0.0018658	60198.1207
0.0018658	60238.3511
0.001824758	60278.189
0.001824758	60318.3029
0.001845795	60358.3442
0.001845795	60399.1115
0.001826652	60438.2512
0.001733578	60484.9957
0.001733578	60519.0885
0.001723147	60559.3394
0.001699228	60598.1553
0.001695376	60638.7256
0.00164795	60679.2857
0.001581109	60717.8616
0.001541199	60757.3875
0.001557394	60797.6872
0.001551393	60837.43
0.001545989	60878.7196
0.001564246	60917.4545
0.001600411	60958.3227
0.001619284	60997.5975
0.001652345	61038.0186
0.001672102	61077.6239
0.001691081	61118.2001
0.001747843	61158.7601
0.001747191	61200.7514
0.001772397	61237.7952
0.001820097	61279.5826
0.00182897	61317.7666
0.00182897	61357.9409
0.001885537	61403.8575
0.001885537	61438.3726
0.001919482	61482.2402
0.001904679	61518.6233
0.001904679	61558.1667
0.001783278	61603.5688
0.001783278	61638.0922
0.001748699	61679.1292
0.001603261	61719.4318
0.001572405	61757.4553
0.001547568	61798.2396
0.001302535	61837.3968
0.001177371	61877.8331
0.001154469	61917.4374
0.001210888	61966.4099
0.001257882	61997.597
0.00137379	62039.0489
0.001466323	62077.6473
0.001511068	62117.9348
0.001513569	62158.1604
0.001512266	62198.0295
0.001512266	62238.9104
0.001583599	62278.1598
0.001583599	62317.8997
0.001677153	62359.0581
0.001677153	62397.9251
0.001701623	62438.1848
0.001702406	62482.2714
0.001702406	62518.065
0.001699794	62559.8763
0.001682518	62598.1002
0.001708421	62638.6773
0.001710448	62678.0769
0.001743904	62719.6517
0.001792144	62758.1462
0.001863457	62797.6857
0.001922941	62838.4277
0.001989548	62878.0701
0.002053235	62917.4282
0.002173846	62957.6601
0.002295545	62997.4439
0.002435067	63037.8084
0.002590107	63078.6381
0.00269496	63117.807
0.002761354	63157.7079
0.002783522	63197.7506
0.002879296	63237.6597
0.002955033	63277.8735
0.002943723	63317.7027
0.002943723	63357.9521
0.003001077	63397.8852
0.003001077	63438.6135
0.00302545	63483.9585
0.003072415	63517.964
0.003129082	63558.0531
0.003089009	63599.2251
0.003089009	63637.9805
0.00308533	63678.1442
0.003136074	63719.3089
0.003139785	63763.4525
0.003179713	63798.4064
0.003198973	63843.2063
0.003185728	63878.7001
0.003200186	63917.297
0.003195931	63958.3944
0.003230725	63997.5936
0.003246065	64037.7128
0.003308343	64077.934
0.003382471	64117.8402
0.003430023	64157.7527
0.003385081	64202.2791
0.003385081	64237.8021
0.003356395	64278.1905
0.003356395	64317.8499
0.003366592	64359.2463
0.003366592	64398.1212
0.003396007	64438.0191
0.003439789	64478.4704
0.003439789	64524.1807
0.003442785	64559.4238
0.003416946	64599.192
0.003400532	64638.3721
0.003332551	64678.1681
0.003336247	64718.5775
0.003356675	64759.7427
0.003401112	64799.2471
0.003448358	64838.5198
0.003502864	64884.1906
0.003567615	64917.3243
0.003593546	64957.9482
0.003643561	64997.8379
0.003655491	65037.8445
0.003664098	65077.6741
0.00368975	65118.0874
0.003736097	65158.8538
0.003774151	65198.129
0.003815198	65241.9049
0.003815198	65277.9686
0.003828903	65320.1437
0.003828903	65358.8635
0.003842043	65400.0575
0.00385606	65438.0971
0.003877013	65478.5021
0.003898054	65517.8675
0.003956859	65558.3905
0.004030246	65598.6829
0.004077085	65638.434
0.004101374	65678.9492
0.004187629	65719.601
0.004253224	65758.0594
0.004342578	65804.6669
0.004422237	65838.1522
0.004440734	65879.1014
0.004480905	65918.3961
0.004499319	65958.3369
0.004572922	65997.3644
0.004630283	66037.9318
0.004699087	66081.0265
0.004703493	66118.5107
0.004696317	66160.8803
0.004713407	66198.8477
0.004713407	66241.4265
0.00473529	66278.1364
0.00473529	66317.709
0.004735108	66358.1896
0.004735108	66403.5888
0.004708799	66438.6773
0.004682928	66481.8013
0.004682928	66517.9684
0.004659736	66565.7316
0.0046381	66599.3646
0.004594753	66639.6345
0.004565222	66678.0228
0.004482081	66718.5872
0.004430887	66758.1262
0.004440219	66798.5829
0.004448173	66839.28
0.00446658	66880.8027
0.004484335	66918.2274
0.004473916	66959.8885
0.004401179	66997.34
0.004338974	67038.0025
0.004243378	67077.6253
0.004242781	67118.1742
0.004202081	67163.2691
0.00419217	67198.7151
0.004217607	67237.5407
0.004217607	67277.7409
0.004168119	67318.1133
0.004168119	67357.8634
0.004142996	67398.2923
0.004168474	67438.4955
0.004168474	67477.7507
0.004202052	67517.7709
0.004241403	67562.1905
0.004317152	67597.8169
